community,agent_id,agent_role,tenure,live_here,household_id,household_size,household_monthly_income_rmb,unit_id,unit_type,unit_size_sqm,age,annual_income_rmb,role_prompt
HuaduGuangmingxiangXiaoqu,A000000001,resident,owner_occupier,1,H000000001,1,4015.17,U000000001,S,52.49,11,0.0,You are a 11-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 52.5 sqm.
HuaduGuangmingxiangXiaoqu,A000000002,absentee_owner_vacant,owner_occupier,0,,0,27438.8,U000000002,M,89.01,71,329265.59,"You are a 71-year-old vacant owner with an annual personal income of about 329,266 RMB and a current housing area of about 89.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000003,resident,renter,1,H000000002,1,2268.96,U000000003,S,59.64,4,0.0,You are a 4-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 59.6 sqm.
HuaduGuangmingxiangXiaoqu,A000000004,resident,owner_occupier,1,H000000003,4,5578.92,U000000004,L,115.95,24,61939.38,"You are a 24-year-old owner-occupier with an annual personal income of about 61,939 RMB and a current housing area of about 116.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000005,resident,owner_occupier,1,H000000003,4,5578.92,U000000004,L,115.95,7,0.0,You are a 7-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 116.0 sqm.
HuaduGuangmingxiangXiaoqu,A000000006,resident,owner_occupier,1,H000000003,4,5578.92,U000000004,L,115.95,23,33338.76,"You are a 23-year-old owner-occupier with an annual personal income of about 33,339 RMB and a current housing area of about 116.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000007,resident,owner_occupier,1,H000000003,4,5578.92,U000000004,L,115.95,86,41687.81,"You are a 86-year-old owner-occupier with an annual personal income of about 41,688 RMB and a current housing area of about 116.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000008,resident,owner_occupier,1,H000000004,5,7799.55,U000000005,L,100.46,26,84446.64,"You are a 26-year-old owner-occupier with an annual personal income of about 84,447 RMB and a current housing area of about 100.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000009,resident,owner_occupier,1,H000000004,5,7799.55,U000000005,L,100.46,18,39717.95,"You are a 18-year-old owner-occupier with an annual personal income of about 39,718 RMB and a current housing area of about 100.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000010,resident,owner_occupier,1,H000000004,5,7799.55,U000000005,L,100.46,23,85683.64,"You are a 23-year-old owner-occupier with an annual personal income of about 85,684 RMB and a current housing area of about 100.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000011,resident,owner_occupier,1,H000000004,5,7799.55,U000000005,L,100.46,16,72790.97,"You are a 16-year-old owner-occupier with an annual personal income of about 72,791 RMB and a current housing area of about 100.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000012,resident,owner_occupier,1,H000000004,5,7799.55,U000000005,L,100.46,38,161269.08,"You are a 38-year-old owner-occupier with an annual personal income of about 161,269 RMB and a current housing area of about 100.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000013,absentee_owner_vacant,owner_occupier,0,,0,14737.3,U000000006,M,73.12,57,176847.55,"You are a 57-year-old vacant owner with an annual personal income of about 176,848 RMB and a current housing area of about 73.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000014,resident,renter,1,H000000005,5,8159.04,U000000007,L,97.03,57,63275.12,"You are a 57-year-old owner-occupier with an annual personal income of about 63,275 RMB and a current housing area of about 97.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000015,resident,renter,1,H000000005,5,8159.04,U000000007,L,97.03,53,207165.45,"You are a 53-year-old owner-occupier with an annual personal income of about 207,165 RMB and a current housing area of about 97.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000016,resident,renter,1,H000000005,5,8159.04,U000000007,L,97.03,17,65933.88,"You are a 17-year-old owner-occupier with an annual personal income of about 65,934 RMB and a current housing area of about 97.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000017,resident,renter,1,H000000005,5,8159.04,U000000007,L,97.03,58,110794.18,"You are a 58-year-old owner-occupier with an annual personal income of about 110,794 RMB and a current housing area of about 97.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000018,resident,renter,1,H000000005,5,8159.04,U000000007,L,97.03,34,109167.65,"You are a 34-year-old owner-occupier with an annual personal income of about 109,168 RMB and a current housing area of about 97.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000019,resident,owner_occupier,1,H000000006,5,6626.71,U000000008,L,125.32,56,126186.45,"You are a 56-year-old owner-occupier with an annual personal income of about 126,186 RMB and a current housing area of about 125.3 sqm."
